TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,"VARIATION 1 TYPE","VARIATION 1 NAME","VARIATION 1 VALUES","VARIATION 2 TYPE","VARIATION 2 NAME","VARIATION 2 VALUES"
"Hello kitty dress for LittleFee and Volks yosd","Hello kitty dress for LittleFee, Volks yosd and or the same size doll.

Dress are made of American cotton. 
All seams are processed on overlock, fastened on the back with snaps.

Doll and props are not included!

This outfit will fit LittleFee and other similar sized dolls.
Dress is modeled by FairyLand LittleFee Ante. 

Thank you for looking)))",23,USD,1,"Toys,Doll_Clothes,Dresses,clothes_littlefee,littlefee,bjd,dress,Volks_yosd,doll_clothes,tiny,outfit,hello_kitty,hello_kitty_dress,clothes_yosd,gift_for_collector",cotton,https://i.etsystatic.com/13980065/r/il/a79b21/1960054180/il_fullxfull.1960054180_o25f.jpg,https://i.etsystatic.com/13980065/r/il/24868b/1960055170/il_fullxfull.1960055170_cmlu.jpg,https://i.etsystatic.com/13980065/r/il/8c2989/1960056186/il_fullxfull.1960056186_q16y.jpg,,,,,,,
"Cute dress with a lush skirt of lace for LittleFee and Volks yosd","Cute dress with a lush skirt of lace for LittleFee, Volks yosd and or the same size doll.

Dress are made of cotton, cotton lace and silk ribbon.
All seams are processed on overlock.

Doll and props are not included!

This outfit will fit LittleFee and other similar sized dolls.
Dress is modeled by FairyLand LittleFee Ante. 

Thank you for looking)))",27,USD,1,"Toys,Doll_Clothes,Dresses,Littlefee_dress,Volks_dress,yosd_outfit,tiny_bjd,Littlefee_clothes,Littlefee_clothing,Fairyland,yosd,littlefee,kawaii_dress,volks_yosd_outfit","cotton,silk ribbon,cotton lace",https://i.etsystatic.com/13980065/r/il/60153d/1976807561/il_fullxfull.1976807561_st6a.jpg,https://i.etsystatic.com/13980065/r/il/336187/1976808719/il_fullxfull.1976808719_o4mi.jpg,https://i.etsystatic.com/13980065/r/il/d43b97/1929271528/il_fullxfull.1929271528_awh6.jpg,https://i.etsystatic.com/13980065/r/il/b4c5a6/1929271948/il_fullxfull.1929271948_cs2y.jpg,https://i.etsystatic.com/13980065/r/il/270735/1976811113/il_fullxfull.1976811113_70ks.jpg,https://i.etsystatic.com/13980065/r/il/cc6fc6/1976812135/il_fullxfull.1976812135_6kn2.jpg,,,,
"Set for LittleFee and Volks yosd","Cute set for LittleFee, Volks yosd and or the same size doll.

The set is sewn from cotton Jersey. Hoodie with a hood and a snaps closure (Snaps on the back).
Striped socks made of cotton jersey.
Bloomers are made of American cotton.

In the set is included: 
- Hoodie
- Bloomers 
- Striped socks

Doll and props are not included!

This outfit will fit LittleFee and other similar sized dolls.
Dress is modeled by FairyLand LittleFee Ante. 

Thank you for looking)))",32.5,USD,1,"Toys,Doll_Clothes,Sweaters,hoodie,LittleFee_outfit,Littlefee_clothes,yosd_outfit,Volks_yosd,Littlefee_clothing,doll_outfit","cotton,jersey",https://i.etsystatic.com/13980065/r/il/c5035c/1928439500/il_fullxfull.1928439500_7ow1.jpg,https://i.etsystatic.com/13980065/r/il/6fed4e/1975985273/il_fullxfull.1975985273_khq1.jpg,https://i.etsystatic.com/13980065/r/il/aa49ad/1975986603/il_fullxfull.1975986603_fz8i.jpg,https://i.etsystatic.com/13980065/r/il/edbebe/1975987927/il_fullxfull.1975987927_9yx1.jpg,https://i.etsystatic.com/13980065/r/il/072664/1928448764/il_fullxfull.1928448764_iayr.jpg,https://i.etsystatic.com/13980065/r/il/6e9de4/1975988763/il_fullxfull.1975988763_eje0.jpg,https://i.etsystatic.com/13980065/r/il/85b7e3/1975989607/il_fullxfull.1975989607_llqs.jpg,https://i.etsystatic.com/13980065/r/il/529a1c/1975990863/il_fullxfull.1975990863_m7bk.jpg,,
"Dress with flowers for LittleFee and Volks yosd","Dress with flowers for LittleFee, Volks yosd and or the same size doll.

Dress are made of American cotton. 
All seams are processed on overlock, fastened on the back with snaps.

Doll and props are not included!

This outfit will fit LittleFee and other similar sized dolls.
Dress is modeled by FairyLand LittleFee Ante. 

Thank you for looking)))",27,USD,1,"Toys,Doll_Clothes,Dresses,doll_clothes,Fairyland,LittleFee_dress,LittleFee_outfit,yosd,tiny_bjd,Volks_yosd_dress,littlefee_clothing,yosd_dress","cotton,lace",https://i.etsystatic.com/13980065/r/il/02b907/1928422956/il_fullxfull.1928422956_mquk.jpg,https://i.etsystatic.com/13980065/r/il/1d182a/1975964381/il_fullxfull.1975964381_ltke.jpg,https://i.etsystatic.com/13980065/r/il/4a3256/1975966743/il_fullxfull.1975966743_39qw.jpg,https://i.etsystatic.com/13980065/r/il/ddaaee/1928428502/il_fullxfull.1928428502_po96.jpg,https://i.etsystatic.com/13980065/r/il/86a384/1975968805/il_fullxfull.1975968805_ric6.jpg,https://i.etsystatic.com/13980065/r/il/b1e383/1928429310/il_fullxfull.1928429310_jsq5.jpg,,,,
"Dress with flowers for MSD Kaye Wiggs","Brown dress with flowers for Layla, Hope MSD Kaye Wiggs and or the same size doll.

Dress are made of American cotton. The bodice is lined. The bottom of the puffy sleeves with elastic.
All seams are processed on overlock, fastened on the back with snaps. 

Doll and props are not included!

This outfit will fit  Layla, Hope MSD Kaye Wiggs and other similar sized dolls.
Clothes is modeled by Kaye Wiggs Layla. 

Thank you for looking)))",45,USD,1,"Toys,Doll_Clothes,Dresses,kaye_wiggs_clothes,kaye_wiggs_dress,bjd_clothes,msd_dress,msd_clothes,layla_dress,msd_clothing,flowers_dress,kaye_wiggs_outfit,kayewigg_dress",cotton,https://i.etsystatic.com/13980065/r/il/7ed1f7/1974959759/il_fullxfull.1974959759_rdpq.jpg,https://i.etsystatic.com/13980065/r/il/7f93da/1974947927/il_fullxfull.1974947927_idan.jpg,https://i.etsystatic.com/13980065/r/il/7ccc5f/1927405934/il_fullxfull.1927405934_hz7c.jpg,https://i.etsystatic.com/13980065/r/il/3325e1/1927407364/il_fullxfull.1927407364_fkef.jpg,https://i.etsystatic.com/13980065/r/il/89e231/1974952183/il_fullxfull.1974952183_r3q4.jpg,https://i.etsystatic.com/13980065/r/il/38d3d5/1927409258/il_fullxfull.1927409258_19qa.jpg,,,,
"Pink dress with flowers for MSD Kaye Wiggs","Pink dress with flowers for Layla, Hope MSD Kaye Wiggs and or the same size doll.

Dress are made of American cotton. The bodice is lined. All seams are processed on overlock, fastened on the back with snaps. 

Doll and props are not included!

This outfit will fit  Layla, Hope MSD Kaye Wiggs and other similar sized dolls.
Clothes is modeled by Kaye Wiggs Layla. 

Thank you for looking)))",27,USD,1,"Toys,Doll_Clothes,Dresses,kaye_wiggs_clothes,kaye_wiggs_dress,bjd_clothes,msd_dress,msd_clothes,layla_dress,dress,msd_clothing,pink_dress,flowers_dress,kaye_wiggs_outfit,kayewigg_dress","cotton,ribbon",https://i.etsystatic.com/13980065/r/il/87bbb1/1929280454/il_fullxfull.1929280454_rimo.jpg,https://i.etsystatic.com/13980065/r/il/6e253e/1974931471/il_fullxfull.1974931471_jzgg.jpg,https://i.etsystatic.com/13980065/r/il/1782c5/1974932241/il_fullxfull.1974932241_gp61.jpg,https://i.etsystatic.com/13980065/r/il/3a4ffb/1974933109/il_fullxfull.1974933109_7doq.jpg,https://i.etsystatic.com/13980065/r/il/58c77c/1927389624/il_fullxfull.1927389624_q3zi.jpg,https://i.etsystatic.com/13980065/r/il/63cde0/1974933617/il_fullxfull.1974933617_s5ey.jpg,https://i.etsystatic.com/13980065/r/il/71f809/1927391360/il_fullxfull.1927391360_58rd.jpg,https://i.etsystatic.com/13980065/r/il/0b5d97/1974935507/il_fullxfull.1974935507_fttw.jpg,https://i.etsystatic.com/13980065/r/il/70cd8e/1974936005/il_fullxfull.1974936005_p12i.jpg,https://i.etsystatic.com/13980065/r/il/0237bc/1974936713/il_fullxfull.1974936713_ejbj.jpg
"Dress for pukiFee and LaTi yellow","Cute dress for pukiFee and LaTi yellow.

Dress are made of American cotton and lace.
All seams are processed on overlock.
Dresses fastened on the back with snaps.

In the set is included: 
- Dress only 

Available colours:
- Brown

Doll and props are not included!

This outfit will fit pukiFee, Lati Yellow and other similar sized dolls.
Dress is modeled by FairyLand pukiFee Ante and LaTi yellow Coco. 

Thank you for looking)))",14,USD,1,"Toys,Doll_Clothes,Dresses,pukifee,Lati,yellow,doll_clothes,dress,bjd,tiny,handmade,outfit,sewing,Olyalya,lati_yellow_dress","cotton,lace,ribbon",https://i.etsystatic.com/13980065/r/il/69b49d/1967619639/il_fullxfull.1967619639_fuix.jpg,https://i.etsystatic.com/13980065/r/il/2be51c/1870997367/il_fullxfull.1870997367_p3ww.jpg,https://i.etsystatic.com/13980065/r/il/4ec361/1823528702/il_fullxfull.1823528702_muul.jpg,https://i.etsystatic.com/13980065/r/il/c013cf/1823529266/il_fullxfull.1823529266_ju8f.jpg,https://i.etsystatic.com/13980065/r/il/ae39ec/1823530886/il_fullxfull.1823530886_r947.jpg,,,,,
"PREORDER Turquoise dress set for LittleFee","PREORDER! Turquoise dress set for LittleFee and or the same size doll.

Dress are made of American cotton. Socks and pants made of cotton jersey.

In the set is included: 
- Dress (Snaps on back)
- White socks
- Pants

I need 5-7 business days to make this outfit.

Doll and props are not included!

This outfit will fit LittleFee and other similar sized dolls.
Dress is modeled by FairyLand LittleFee Ante. 

Thank you for looking)))",28,USD,1,"Toys,Doll_Clothes,Dresses,doll_clothes,dress,bjd,tiny,handmade,outfit,sewing,Olyalya,LittleFee,yosd","cotton,jersey",https://i.etsystatic.com/13980065/r/il/85cba3/1966148437/il_fullxfull.1966148437_jadb.jpg,https://i.etsystatic.com/13980065/r/il/97af85/1273808837/il_fullxfull.1273808837_ksgd.jpg,https://i.etsystatic.com/13980065/r/il/d56dda/1273913459/il_fullxfull.1273913459_qvsj.jpg,https://i.etsystatic.com/13980065/r/il/1d7d28/1273913537/il_fullxfull.1273913537_9wbd.jpg,https://i.etsystatic.com/13980065/r/il/3df778/1273913575/il_fullxfull.1273913575_92qd.jpg,,,,,
"PREORDER Pink dress set for LittleFee","PREORDER! Pink dress set for LittleFee and or the same size doll.

Dress are made of American cotton. Socks and pants made of cotton jersey.

In the set is included: 
- Dress (Snaps on back)
- White socks
- Pants

I need 5-7 business days to make this outfit.

Doll and props are not included!

This outfit will fit LittleFee and other similar sized dolls.
Dress is modeled by FairyLand LittleFee Ante. 

Thank you for looking)))",28,USD,1,"Toys,Doll_Clothes,Dresses,LittleFee,yosd,dress,clothes,tiny,bjd,outfit,doll_clothes,Olyalya","cotton,jersey",https://i.etsystatic.com/13980065/r/il/723143/1226587924/il_fullxfull.1226587924_go10.jpg,https://i.etsystatic.com/13980065/r/il/29b2e8/1226587950/il_fullxfull.1226587950_fbb2.jpg,https://i.etsystatic.com/13980065/r/il/2f64d1/1226587988/il_fullxfull.1226587988_9j1u.jpg,https://i.etsystatic.com/13980065/r/il/6dfb4a/1273805605/il_fullxfull.1273805605_3l7l.jpg,https://i.etsystatic.com/13980065/r/il/51e602/1273805725/il_fullxfull.1273805725_9x1i.jpg,,,,,
"Dress with a lush skirt of lace for Kikipop (Kinoko juice)","Cute dress with a lush skirt of lace for Kikipop (Kinoko juice).

Dress are made of cotton, cotton lace and silk ribbon.
All seams are processed on overlock.

Please, before you put on the dress, remove the hands of the doll!
Doll and props are not included!

This outfit will fit Kikipop (Kinoko juice).
Dress is modeled by Azone Hello KIKIPOP! (Honey Pink).

Thank you for looking)))",22,USD,1,"Toys,Doll_Clothes,Dresses,Kikipop_dress,Kikipop_clothes,cute_doll_clothes,Kikipop_clothing,Azone,Honey_pink,Kinokojuice_dress,Kikipop_outfit","cotton,cotton lace,lace,silk ribbon",https://i.etsystatic.com/13980065/r/il/c3f12a/1915806314/il_fullxfull.1915806314_jd5u.jpg,https://i.etsystatic.com/13980065/r/il/c0c9e1/1963353515/il_fullxfull.1963353515_hbqs.jpg,https://i.etsystatic.com/13980065/r/il/e77928/1915809706/il_fullxfull.1915809706_q8ti.jpg,https://i.etsystatic.com/13980065/r/il/36871f/1963355037/il_fullxfull.1963355037_gdbj.jpg,https://i.etsystatic.com/13980065/r/il/4068be/1963355517/il_fullxfull.1963355517_ghg1.jpg,https://i.etsystatic.com/13980065/r/il/a66edd/1963358127/il_fullxfull.1963358127_k2tr.jpg,https://i.etsystatic.com/13980065/r/il/075336/1963358799/il_fullxfull.1963358799_if6w.jpg,https://i.etsystatic.com/13980065/r/il/9626c7/1963359135/il_fullxfull.1963359135_7n1k.jpg,https://i.etsystatic.com/13980065/r/il/cd2177/1963359365/il_fullxfull.1963359365_syxt.jpg,
"Vintage style teddy bunny","The little teddy rabbit Michelle.
Vintage style collectible teddy rabbit.

She was created by me.
Sewn from curly German light gray viscose Helmbold, stuffed with wood sawdust and metal granules, toned with oil paints. Glass eyes.

She has the light pink dress with a white inset. Flirtatious hat with knitted flower.

About 6 inches (15 cm).

Not for children under 3 years.
Dry cleaning.

This price is only for one teddy rabbit. 
Thank you for looking)))",79.9,USD,1,"Toys,teddy_bear_girl,teddy_bear_vintage,collectible_bunny,collectible_rabbit,teddy_rabbit,teddy_bunny,teddy_bear_handmade,vintage_teddy_bunny,handmade_gift,old_rabbit,teddy_bear_ooak,unique_present,birthday_present","viscose,cotton,glass eyes",https://i.etsystatic.com/13980065/r/il/543ad6/1913483050/il_fullxfull.1913483050_nddu.jpg,https://i.etsystatic.com/13980065/r/il/3e117c/1913481842/il_fullxfull.1913481842_aupl.jpg,https://i.etsystatic.com/13980065/r/il/f2f877/1913483468/il_fullxfull.1913483468_e3d6.jpg,https://i.etsystatic.com/13980065/r/il/ed6a68/1913485118/il_fullxfull.1913485118_o03u.jpg,https://i.etsystatic.com/13980065/r/il/ff093a/1913487534/il_fullxfull.1913487534_bbas.jpg,https://i.etsystatic.com/13980065/r/il/3a7195/1961035987/il_fullxfull.1961035987_2kpv.jpg,https://i.etsystatic.com/13980065/r/il/a3e274/1913490908/il_fullxfull.1913490908_m6i4.jpg,https://i.etsystatic.com/13980065/r/il/45a3e3/2056059557/il_fullxfull.2056059557_akvq.jpg,,
"PRE-ORDER! Cute dress for pukiFee.","PRE-ORDER! 
Cute dress for pukiFee.

Dress are made of cotton and lace.
All seams are processed on overlock.
Dresses fastened on the back with snaps.

I need 5-7 business days to make this outfit.
You can order a dress from another fabric. To do this write me) 
This price includes the making of one dress!

Doll and props are not included!

This outfit will fit pukiFees.
Dress is modeled by FairyLand pukiFee Ante. 

Thank you for looking)))",23,USD,1,"Toys,Doll_Clothes,Dresses,outfit_for_pukifee,dress,dress_for_tiny,clothes_for_pukifee,bjd_clothes,doll_clothing","cotton,lace",https://i.etsystatic.com/13980065/r/il/baa902/1930952695/il_fullxfull.1930952695_4hhb.jpg,https://i.etsystatic.com/13980065/r/il/34002f/1930949709/il_fullxfull.1930949709_oagz.jpg,https://i.etsystatic.com/13980065/r/il/95ada0/1883427658/il_fullxfull.1883427658_gyxp.jpg,https://i.etsystatic.com/13980065/r/il/3632ab/1930951551/il_fullxfull.1930951551_p3ru.jpg,https://i.etsystatic.com/13980065/r/il/f51579/1883428806/il_fullxfull.1883428806_qya8.jpg,https://i.etsystatic.com/13980065/r/il/9d0c05/1930953193/il_fullxfull.1930953193_mrm8.jpg,,,,
